polarity,reviews
1.0,best indian food ever eat
1.0,dissapoint
1.0,place best pizza
1.0,culinaria welcom addit garment district far better restaur area
1.0,music sometim littl heavi tast
1.0,servic excel alway inform without air
1.0,owner staff go great length make feel comfort
1.0,stand dungeon
1.0,sushi alway fresh yummi menu pretti vari
1.0,food great sushi good cook food amaz us
1.0,dinner special fantast
1.0,delish make like
1.0,great food great drink nice din atmospher
0.0,price pay food expect least par japanes restaur
1.0,food portion small averag
1.0,favor avoid place cost
1.0,sinc first time come hook
1.0,sit back one comfort chair
1.0,peopl neighborhood seem love
0.0,conclus place suck
1.0,fav taco pastor tostada de tinga
1.0,nick stef one place worthi go area happen madison squar garden herald squar check
1.0,tell impress
1.0,bartend manag realli nice decor comfi lay back trendi
1.0,savori take soup sandwich meal tri hot sour soup
1.0,bar great drink cool atmospher excel servic delici food
1.0,also chick pea shrimp appet divin
0.0,final get sick bad servic obnoxi smirk snotti back talk
1.0,never agav
1.0,go drop coin complet worth especi look impress someon
1.0,order lamb perfectli cook tast awesom
1.0,especi like soft shell crab sandwich fri
1.0,look authent hong kong style food look
1.0,wife live west side find visit firend ue
1.0,good food good wine
1.0,nice find neighborhood
1.0,staff extrem friendli pleasant
1.0,soon one person do ask pick plate immedi
1.0,place italian french
1.0,mani great review bf go esca celebr birthday last nite
1.0,kitchen food delici sushi world
0.0,heat problem boot degre restaur request uncheck coat
1.0,everyth scrumptiou excel servic cute waitress extrem lush atmospher
1.0,tradit simpl italian food
1.0,girlfriend spend month anniversari lou lou
1.0,food around good roll usual excel sushi sashimi quit level
0.0,sashimi cut littl thinli
1.0,bay terrac mall noth ok almost noth without
1.0,could better price chinatown
1.0,husband blast
1.0,person say save money
1.0,addit great hot dog dotp wonder breakfast sandwich featur addit great thing like tator tot english muffin delici nj base pork product know us jersey girl boy taylor ham
1.0,believ live name
0.0,well happen graceless manag rude bartend us wait minut drink tell us chill
1.0,servic great form convers around tabl easi beacus atmospher romant comfort
1.0,dish arriv blaze green chilli definit edibl human
0.0,absolut worst servic ever experi food averag actual give peopl meal order
1.0,lunch take dine
1.0,far best past new york
1.0,eat sever time attend afternoon perform
1.0,everyth cheap
1.0,sure accompani food one fresh juic concoct
1.0,food great price reason
1.0,place clean like soul food place
1.0,see lot peopl eat church
1.0,roast chicken salad
0.0,regular custom juic gener last month offic move film center ninth avenu next block
1.0,good chicken avocado good tuna well
1.0,kind place like support
1.0,meal terribl
1.0,chicken complet dri cold side sauc flavor
1.0,malt milk ball gelato ever life hear anyth ridicul wonder
1.0,walk window see unbias posit review major nyc public
1.0,way much money terribl meal
1.0,would recommend anyon go
1.0,howev servic absolut horribl
1.0,con slow bar servic
0.0,dessert also die
1.0,btw servic good
1.0,love go back
1.0,come week later boyfriend nice experi
1.0,eat black vinegar shred ginger
1.0,unattract light make want gag food overpric aw disco pop duo perform escargot look like might crawl plate
1.0,definitli back
1.0,best italian restaur citi
1.0,cozi place go coupl friend
1.0,servic alway great owner walk around make sure enjoy
1.0,waiter need sever attitu adjust
1.0,numer shavu restaur la
1.0,horribl experi stay away
1.0,restaur manhattan would definit go often
1.0,food delici highli recommend
0.0,come time take order waiter give us hard time walk away come back paper pen us write want excus job
1.0,one fav spot citi
1.0,price overr stay away
1.0,go restaur
1.0,sinc neighborhood make sure give tri
1.0,say fantast
1.0,dieter stick salad indulg vegetarian platter
1.0,fill healthi meal give go
1.0,imagin much wors would go prime time
1.0,din mammino sever time time get bettter
1.0,definit someth come check
1.0,sinc cook live fussi food eat restaur
1.0,servic outstand
1.0,go restaur week
1.0,friend stop pizza hit kip bay movi theater
1.0,alway enjoy pizza
1.0,servic pretti good
1.0,go friend return
1.0,place around year
1.0,yum chicken great
1.0,highli recommend restaur
1.0,find everyth trio like
0.0,place worst
1.0,order last week
1.0,nice sushi restaur brooklyn locat street right underneath train station
1.0,food great treat begin end
1.0,host owner server person care
1.0,decid tri place hear mani magazin
1.0,everyth food atmospher incredibi kind graciou host
0.0,move truli miss place
1.0,food good servic great
1.0,usual get one vietnames beef noodl soup
1.0,sum local invest banker like tri least
1.0,start go dosa hut
0.0,wonder make din experi miser
0.0,bad lot potenti
1.0,place best indian food new york hand
1.0,waiter friendli help frequent rememb
1.0,intim charm interior extrem friendli attent servic
1.0,food creativ decor work
1.0,siam squar fairli new neighborhood think time gain recognit deserv
1.0,first experi siam squar pleasant
1.0,go back siam squar mani time sinc everytim satisfi overal
1.0,menu great good select everyth tri absolut delici
1.0,christma parti do camino wonder
1.0,person favorit nick joe
1.0,sauc zesti flavor crust nice crispi
1.0,place best sushi citi
1.0,excel select roll crab realli great
1.0,everyon work host bartend server help
1.0,food fantast
1.0,favourit includ potato spinach gnocchi lamb
1.0,anoth great thing glechik everyth cheap
1.0,unfortun choos spot lunch do lot walk end south st seaport
1.0,regular know sandwich real star
1.0,skill choos portugues chees cart pair qualiti port provid perfect iberian end
1.0,friend burger wonder blueberri pancak
1.0,happi food even thrill saw bill
1.0,would definit come back restaur
1.0,place readi prime time
1.0,top fresh think veget garden crust perfect one actual think make
1.0,quartino favori restur nyc
1.0,alway get amaz servic love food
1.0,waitstaff solicit friendli alway seem glad see us food wonder stunningli creativ
1.0,love lobster ravioli
1.0,order tabl even busi friday night within minut hang phone
1.0,come across restaur accid dumbo art festiv thoroughli enjoy meal
1.0,servic excel wait get lot price
1.0,think food cheap compar chinatown
1.0,never get feel need leav
1.0,coffe better deal overpric cosi sandwich
1.0,know order drink leav
1.0,great neighbhorhood spot
1.0,bobb v great place take friend famili
1.0,best japanes restaur east villag pretti solid one modest price worth repeat visit
1.0,food good popular wait realli nightmar
1.0,thing best citi world restaur
1.0,go spend money somewher realli wow
1.0,crowd older restaur cramp old school charm
1.0,real gem place
1.0,think wonder place
1.0,first walk place seem great ambienc
1.0,go kitchenett weekend brunch
1.0,place get public sylvia soul food restaur
1.0,p diddi parti butter mean automat impress
1.0,even two hungri peopl plenti food leav take home reheat realli well also
1.0,like say nick joe may everyon favorit mine
1.0,help extrem nice rush us
1.0,somehow make dri burn crust around raw cold insid
1.0,good food noth want
0.0,know other block like pleas choic
1.0,averag cake that court lot hype
1.0,cute simpl love
1.0,wife recent visit bistro dinner wonder experi
1.0,servic perfect noth wrong italian french restaur
1.0,fianc recent want see citi deceid take dinner cruis
1.0,delmonico steak send back cook order
1.0,everytim go pick anyth eat menu fill great thing eat
1.0,half chicken mountain rice bean
1.0,servic realli fast friendli valu great
1.0,impress food valu
1.0,must tri garlic soup
1.0,casablanca servc delici falafel tabouleh humu mediterranean delight inexpens
0.0,even bad even bardolino keep come back
1.0,pizza make fresh crispi readi serv
1.0,mani french bistro midtown area wholheartedli recommend one
1.0,staff accomod make sure satifi
1.0,chef waldi alway measur
1.0,diamond ruff definit worth minut walk train
1.0,vegan make point tri vegan restaur manhattan zen palat easili favorit
1.0,pedro one favorit restaur
1.0,reason price fresh sushi
1.0,go seafood paella two
1.0,apet good sangria good
1.0,cantinetta real treasur see mediocr italian restaur
1.0,one posit thing say servic prompt get seat right away server friendli
1.0,staff greet warmli door seat promptli food excel
1.0,whether one pizza place better anoth often subject
1.0,realli nice restaur go group date
1.0,servic usual pretti good
0.0,host host quit rude
0.0,miss anyth
1.0,discov applebe go away colleg va
1.0,wait staff friendli rude picki meal leon last weekend great
1.0,recommend salmon dish
1.0,foie gra sweet lusciou
1.0,menu chang season show region intern influenc
1.0,mac chees yummi
1.0,brunch menu someth everyon
1.0,jazz singer nice voic make us get danc shake cal eat
0.0,often find time kill time squar shame sinc love area
1.0,quick servic great much time
1.0,food averag breakfast food soup salad sandwich etc
0.0,highli disappoint food
1.0,banana pud serv never see oven crabcak way salt get start greasi mac chees
1.0,staff arrog price way high brooklyn
1.0,place averag best
1.0,servic prompt friendli
1.0,whatev reason definit place
1.0,liter hot spot come food
1.0,downstair bar scene cool chill
1.0,food definit good say do justifi price includ drink person
1.0,come casual lunch well friend birthday alway enjoy
0.0,tequila fan disappoint
1.0,great beer select someth like beer
1.0,read great review invit die hard downtown friend mine join tast
1.0,sound neg wari delivari
1.0,feel like famili go
1.0,find food good owner da silvano much less expens
1.0,homemad pasta kind recommend gnocchi yum
1.0,veget risotto burn infus total burn flavor
1.0,pleasant surpris
1.0,main draw place price
1.0,hope stay busi servic like
1.0,dinner never disappoint even price bite top
1.0,amaz sandwich soup pizza etc homemad sorbet world
1.0,homemad guacamol unbeliev entre thee amaz desert
1.0,sushi reason price fresh
1.0,fuss fast delici
0.0,save room desert die
1.0,best thing order grill churrasco rib
1.0,tradit italian item great cheap serv cozi set
1.0,whether choos ice blend mocha hot white mocha sure extrem happi
1.0,last tuesday late lunch friend
0.0,delish feel bad eat
1.0,anoth friend ask time parmesan chees
1.0,waitress appar never tri food one recommend wine
1.0,servic bite slow portion bite small hungri rush place
1.0,doubt next time want go special occas entertain guest town spirit bateaux destin
1.0,would recommend jewel bako want feel like kick groin pay
1.0,ambianc pretti cool worth hassl
1.0,unfortun ladi next us think order salad includ ask salad dress instead give quesedilla
1.0,el nido one best restaur new york ever great varieti tasti mouth water pizza
0.0,servic pretti poor around food well averag rel cost outsid crazi bum harass everi custom leav place
1.0,although move uptown tri stop often possibl great cheap food pay friendli staff visit
1.0,wait friend bar minut
1.0,chef vincenzo alway need real talent real roman
1.0,look tast great indian food want good servic definit visit curri leaf
1.0,must tri odessa stew rabbit stew salad good kompot soo refresh hot summer day make way mom remind home lot
1.0,daughter leav feel satisfi stuff felt good know healthi lunch
0.0,almost tempt give place bad review keep crowd away go year realli fave hang citi
0.0,complain waitress say sorri
1.0,qualiti meat par local groceri store
1.0,special smoothi fresh juic
1.0,first come well do polit send back
1.0,recommend black roast codfish best dish even
0.0,manag tell us could order whatev menu want time annoy waiter restur let go place els
1.0,mi burrito noth dark chicken cook last week warm microwav tast
1.0,busi hr recommend make reserv
1.0,wast time money
1.0,good like movi never good book analog
1.0,warm experi
1.0,go common stock brunch impress
1.0,call nikki sushi sushi ok
1.0,food also outstand serv quit quickli
1.0,noth say place neg except cheap night worth
1.0,erbazzon emiliana mostarda chees plate dish restaur handl delic care
1.0,food delici bar great vibe
1.0,expect real hi read
1.0,candlelight music
1.0,nice find place open hour especi downtown brooklyn
1.0,simpl healthi unglamor food cheap
1.0,fantast din experi return week
1.0,fair food still good servic quick attent even though usual busi
1.0,place absolut ador food delici
1.0,order chicken teriyaki husband get garlic shrimp
1.0,better japanes food mall food court
0.0,staff member extrem friendli even replac drink drop outsid
1.0,cool atmospher let
1.0,sashimi portion big enough appeas peopl like fact use artif lobster meat
1.0,wheat crust pizza make realli fresh yummi ingredi
1.0,love dinner dedic seafood joint food well prepar present servic pleasant prompt
1.0,ice make cake fluffi ultra sweet creami light
1.0,final let store time buy expens slice harri staff
1.0,end leav essenti ignor wait staff even though rest restaur larg empti
1.0,wine list extens well price cover alot region
1.0,go want fresh tasti salad type imagin
1.0,everyth place ador even bathroom
1.0,speedi deliv great food decent price friendli servic combin ensur enjoy repast
1.0,waiter sidewalk tri pull make us suspici
1.0,opportun visit want authent italian meal
1.0,take year parisi get around make pizza least think ever make year worth wait
1.0,ask simpl medium rare steak
1.0,gener garnish organ grill burger popular dish jerusalem market style falafel wrap mediterranean salad layer beet goat chees walnut equal scrumptiou
0.0,probabl worst din experi new york former waiter know talk
1.0,result red velvet great textur soft velveti nice hint cocoa
1.0,ask round corner tabl next larg window
1.0,twist pizza heatlhi full flavor
0.0,lack ac fact million swarm bodi although everyon polit one push slight turn
1.0,love littl pie compani much anyon els write review must discourag anyon visit grand central locat due rude servic two sale peopl
1.0,unfortun unless live neighborhood conveni locat like hide treasur
1.0,seem like effort make display qualiti food
1.0,food though mostli deep fri simpl satisfi
1.0,live neighborhood go twice week sinc day first open
1.0,glechik might way tini restaur russian standard cozi food simpli great
1.0,food excel authent italian cuisin make absolut fresh
1.0,night atmosher chang turn hide jewel wait discov
1.0,time go romant date heaven walk get booth window treat like vip crowd place great food servic
1.0,would go coffe way better starbuck like
1.0,use regular costum pongal dosa hut open right next door
0.0,somewhat disappoint wine list new vintag
1.0,good noth get similar restaur
1.0,look nasti high price food dash ghetto sceneri cheap bx place
1.0,new hamburg special sauc ok least better big mac
0.0,perfectli al dent pasta drown sauc gener portion
1.0,understand price serv better food like chines restaur midtown uptown area
0.0,servic aw mostli staff overwhelm saturday night
1.0,owner good job guy place keeper
1.0,owner simpli love friendli
1.0,littl place wonder warm welcom
1.0,perfect quick meal
1.0,warmth famili local yet great place watch sport event
1.0,servic great whole great deal birthday
1.0,staff italian food authent get
1.0,complaint might fortun cooki never cooki predict bad luck visit kar
1.0,good quick sushi lunch
1.0,mojito sit back patio
1.0,servic dread slow place half full smile would nice
1.0,go past saturday excel meal consist brais lamb shank mash potato
1.0,waitress come pick soy sauc eat lunch
1.0,sit bar bartend seem like want
1.0,reccomend fri pork dumpl orang chicken beef fri rice
1.0,dissapoint choic menu
1.0,french fri kalmata dip terrif
0.0,would ever believ complain hour wait tell minut manag tell bartend spill drink pay
1.0,boutiqu select win cover wide varieti without impos
1.0,lucki privat parti go back get chanc realli chill
1.0,also great assort wrap mood tradit mediterranean fare
1.0,fresh veggi sort middl eastern spread chees falafel soup fish rice root veget rice medley spinach thing lamb kebab chees baclava soooo much fooood delici
1.0,disappointingli wonder saketini take bar menu
1.0,short black sheep distinguish midtown pub herd look mix sport bar butch ornat kitsch
1.0,would definit go back exot martini blackboard
1.0,locat beat path certainli worth trip
1.0,make fuss abl add chair either end tabl addit peopl
1.0,happi hour cheap reflect servic atmospher
0.0,wait almost hour waiter brusqu tell us forget give kitchen order
1.0,mundan mediocr place th avenu nice one step quailiti atmospher
1.0,mix student area resid crowd narrow bare space quick tasti treat dirt cheap price
1.0,give tri menu typic french vari
1.0,get crowd lunchtim lot seat back everyon work nice
1.0,valu great afford spot enjoy fun night small group
1.0,neg review citi search probabl jealou compet restaur realiz compet templ entir posit attitud proper way treat custom deliv top qualiti food
0.0,order glass wine finish eat pay wine come
0.0,good none flavor wow
1.0,overal nice place take friend hang servic excel
1.0,food excel qualiti good restaur price
0.0,actual everyon work seem annoy
1.0,eleven buck get gigant burrito taco margarita dessert
1.0,space tradit feel
1.0,restaur complet empti give dirti look ask reserv
1.0,food mediocr kind interior small averag owner tag team unpleasantri rude snotti actual let hearti guffaw whilst din
1.0,good servic great food good valu never wait line
1.0,offer like hot cake egg mcmuffin sandwich avail breakfast
1.0,go restaur year past servic averag food inconsist
1.0,music fascin leav room convers bartend make superb drink
1.0,rice dish noodl dish rare exceed add refresh ice drink set night
1.0,cuisin bill asian fusion meet bill
1.0,creativ dish like king crab salad passion fruit vinaigrett fettuccin grill seafood rosemari orang sauc unexpect element otherwis predict bistro menu
1.0,dish denot roy classic mark menu asterisk tri true recip macadamia crust mahi mahi subtli sweet honey mustard beef short rib
1.0,cold sesam noodl freebi order delect
1.0,come fresh expect great meal get margin food serv restaur freez enjoy eat
1.0,lone argentin chorizo appet heavi fennel flavor italian sausag like one sell lb store
1.0,go swifti friend famili nice dinner noth amaz
1.0,best chines upper east prompt deliveri good valu
1.0,sandwich make soy mayonais actual pretti good
0.0,go one day ask tabl group greet rude host
1.0,worthwhil take cab chelsea awesom dinner chelsea
1.0,food authent staff practic boat young hip know come food wine
1.0,good music nice tapa interest select win primarili spanish lowkey hip neighborhood clientel
1.0,food great love dumpl cold sesam noodl chicken shrimp dish
1.0,food well food keep come back
1.0,wait three hour get entre treat well
1.0,convers make fun place
1.0,gf duck confitt solid well although littl base refer
1.0,wine list superb tapa delight quiet atmospher perfect good convers
1.0,eat gourmet food fast food price
1.0,eat three locat alway love love food servic alway wonder price realli reason
1.0,pregnant food alway delici
1.0,great meal weekend head movi
1.0,birthday parti recent food servic amaz
1.0,dinner menu offer varieti great entre includ fresh seafood huge steak also coupl non meat altern
0.0,place strangest menu restaur tri hard make fanci food
1.0,appet ok servic slow
1.0,food worth price
0.0,say place waitress bring wrong entre verbal assault year old grandmoth give lip send back polit way
1.0,price terribl
1.0,gratuiti automat add bill
1.0,halibut cheek appet come gener portion foie gra posit thing say meal
1.0,food excel also empenada plaintain good afternoon snack
1.0,number appet pasta special amaz
1.0,time favorit includ big mac chicken mcnugget filet fish sandwich mcdonald famou french fri lighter option like entre size salad also avail
1.0,although somewhat loud nois minim intrus
1.0,basic pizza joint much look pizza go
1.0,tabl close better comfort bump elbow patron
1.0,monday lunch work film area find rare jewel
1.0,much enough great scene
1.0,feel like make new york eat
1.0,walk dozen time final settl monday night
1.0,sum read review tri judg hi expect sure enjoy
1.0,go one greet us
1.0,dig blue bar area
1.0,spend much time get elbow around wait leav
1.0,get opportun dine establish week ago upstrair din area
1.0,meat phobe luck extraordinari veggi burger make distinct blend chickpea carrot veget spice
1.0,peak time restaur overcrowd tabl uncomfort close
1.0,servic point els would expect ritz
1.0,menu featur season pick like sweet corn foie gra brule
1.0,innov assur simpl carinthia chees ravioli wild mushroom caviar top sturgeon beauti match bright green spinach vodka sauc
1.0,small wimpi fast food type burger real full size patti
1.0,restaur casual perfect lunch deliveri servic alway fast
1.0,chinatown definit better qualiti cheaper price
0.0,flag third staff person fork goodby littl rude pie compani
1.0,nyc year could find delicaci east hudson
1.0,go special stay away salmon
1.0,pasta pretti good
0.0,atmospher bore
1.0,decor initi get door
1.0,wait staff attent polit
1.0,great restaur even greater food
1.0,dish remark tasti cozi intim place
1.0,save room dessert
1.0,love simplic respect give food well staff freindli knowledg
1.0,servic good atmospher
1.0,date order branzini felt fish averag
1.0,march find maison nice
1.0,food good servic prompt price reason
1.0,wonder menu warm invit ambianc great servic food keep come back
1.0,great food good wine excel host
1.0,go last night cowork
1.0,pizza excel addit appet main cours
1.0,definit tri calamari pasta even slice steak entre
1.0,caeser salad great
1.0,fri calamari even better
1.0,atmospher nice littl dark
1.0,food good overal
1.0,food outstand servic top
1.0,portion larg servic fantast
1.0,recomend chicken milanes
1.0,excel tapa great price romant small overli crow excel
1.0,servic quit slow friendli
1.0,chocol raspberri cake heavenli sweet full flavor
1.0,waiter help charm food perfect wine good
1.0,alia warm cozi get squish feel get clinton
1.0,never bad meal bad servic pigal
1.0,best hot dog tri state area
1.0,typic exampl establish owner know anyth restaur busi
1.0,would recommend meet rip way time step
1.0,go special celebr
1.0,restaur quiet intim
1.0,servic attent gener
1.0,ton great food wine dessert
1.0,realli love din experi midst buzz midtown area
1.0,ok dumont time
1.0,food realli good servic terribl
0.0,mayb dumont patron younger lower expect cannot recommend dumont
1.0,best escargot town alway tri accomod toddler
1.0,sotto voce sever time say one place hit nail right head ever time
1.0,guest sampl least menu hit
1.0,deco ambianc realli romant
1.0,best unknown restaur around new york
1.0,go sampl greatest french food west daniel
0.0,someon use hate indian food baluchi chang mid
0.0,final curri eat enjoy suffer gastriti hour later
1.0,great poori naan paratha fresh
1.0,tri homemad bread
1.0,place beauti sushi delici cheap
1.0,also lot korean dish afford yummi
1.0,go restaur week order prix fix menu
1.0,waiter effici courteou also extrem help
1.0,take bigger bite wallet appetit would reccomend anyon would want talk
1.0,place classi chic servic warm hospit food outstand
1.0,read place time magazin
1.0,great find astoria
1.0,great burger grill chees french fri
1.0,yellowfin tuna calf liver favorit
1.0,sushi fresh crunch mouth
1.0,make sure enough room credit card bill leav big dent wallet
1.0,despit th ave address frill whick also love
1.0,bring sauc cart tabl offer choic sauc steak tri
1.0,sushi fresh also serv entre allow guest someth choos leav happi tri duck
1.0,good varieti noth surpris
0.0,pay purchas notic give utensil could eat pie
1.0,likewis like realli thin crust realli big slice nick joe may favorit
1.0,alway quiet aw
1.0,green bean egg anchovi dress nicois oliv red onion
1.0,build meal side order like amazin green salad buffalo chicken kicker cinna stix
1.0,thick fri meati chili stuff bake potato round menu includ cool ultra thick chocol frosti
1.0,alway find ask waiter make someth bland differ menu
1.0,good cake best cake ever defin worth stand outsid sidewalk herd like cattl indiffer overwork employe
1.0,closest get cherri marscapon day
1.0,homag india evid delect roti canai appet fri pancak serv pungent curri dip sauc mango chicken offer surprisingli sophist fresh take sweet sour
1.0,look like much outsid minut walk insid whole atmospher
1.0,say place awesom
1.0,grind chickpea soup sampl starter tast somewhat thin
1.0,request slice sushi return us small chees like cub
0.0,servic howev peg two qualiti food horribl bartend clientel part rowdi loud mouth commut could explain bad attitud staff get load ac dc concert knick game
1.0,neighborhood definit stop great meal
1.0,unfortun show ticket time sampl dessert
1.0,restaur could use littl paint great sushi place
1.0,make tabl perhap rooftop bar
1.0,decor feel like cairo actual street part adventur
1.0,although small beauti ambienc excel food catfish delici ya mind lil salti attent servic
1.0,go food comment
1.0,friend go week minimum live area everytim resist walk readi burst
1.0,stick item place best brisket rib wing cajun shrimp good great
1.0,hip boutiqu bar ludlow add artsi lay back atmospher isra style takeout eat burger joint
1.0,young neighborhood trendi graze counter day chic art hous drinker heavi dose munchi pile late night
1.0,bring date bottl wine
1.0,best thai restaur also rank one favorit place dine
1.0,put anoth review extrem neg review
1.0,chelsea impress creativ menu includ modern western japanes dish foie gra unagi napolean jap style hamburg steak spici cod roe spaghetti black cod miso base rack lamb black truffl sauc name
1.0,food excel expens nyc standard entre appet
1.0,food consist good get name best diner manhattan beyond
1.0,pasta primavera outstand well lot fresh veggi
0.0,get wrong sushi good fantast
1.0,puerto rican know thing two flan place serv one best hope mom read
0.0,one brooklyn year dont go bridg best pizza hanx
1.0,dinner friday food great
1.0,recent spend new year eve restaur great experi wine dessert menu
