lemmas,bigrams,depenrel
"['bar', 'second', 'two', 'friend', 'l', 'lover', 'upon', 'friday', 'walk', 'stumbl', 'town', 'seriou', 'sushi', 'sit', 'action', 'closer', 'floor', 'ago']",second floor;floor walk-up;serious sushi;,i stumbled;second floor;i was;serious lovers;we sat;
"['cozi', 'raga', 'romant', 'restaur']",cozy restaurant;,romantic restaurant;cozy restaurant;
"['amaz', 'rice', 'fri']",fried rice;,fried rice;rice is;
"['three', 'includ', 'steak', 'excel', 'hanger', 'goat', 'chees', 'salad', 'au', 'cours', 'delici', 'world', 'puff', 'poivr', 'pastri', 'dress', 'mussel', 'choic']",excellent mussels;puff pastry;delicious dressing;,choices include;excellent mussels;mussels include;delicious dressing;hanger steak;poivre include;that is;
"['perfect', 'indian', 'amanz', 'food', 'place']",perfect place;indian food;,it 's;perfect place;amanzing food;indian food;food have;
"['cool', 'servic', 'place', 'prompt', 'curtiou']",so cool;,place is;service is;
"['noodl', 'leav', 'end', 'cup', 'slurp', 'broth', 'mild']",mild broth;,you left;mild broth;you slurp;
"['littl', 'money', 'delici', 'wonder', 'meal']",just wonder;delicious meal;such little;little money;,i wonder;you have;delicious meal;meal have;such money;little money;
"['stomach', 'come', 'empti', 'delici', 'food']",not come;empty stomach;,food was;not come;empty stomach;
"['excel', 'wine', 'list']",wine list;,list is;
"['fit', 'garantuan', 'toaster']",so garantuan;n't fit;,you fit;n't fit;them fit;
"['mom', 'manhattan', 'thai', 'restaur', 'ive', 'toon', 'far', 'food', 'except', 'cours', 'best', 'mani']",ive been;many thai;thai restaurants;best thai;,i been;many restaurants;thai restaurants;toons is;best food;thai food;i had;
"['offer', 'glass', 'even', 'finish', 'wouldnt', 'anoth', 'wine', 'let']",even let;,they let;me finish;glass finish;another offering;
"['pizza', 'recommend', 'sophia', 'highli']",highly recommend;,i recommend;pizza recommend;
"['whem', 'know', 'question', 'special', 'detail', 'ask']",more detailed;detailed questions;,whem asked;we had;detailed questions;questions ask;we knew;specials were;
"['dine', 'great', 'dinner', 'place', 'lunch', 'consist']",consistently great;great place;,this is;great place;
"['pleasant', 'servic', 'desert', 'atmospher', 'good', 'nice']",nice atmosphere;very pleasant;,nice atmosphere;service was;desert was;
"['bring', 'go', 'peopl', 'back', 'friend']",i bring;there go;,people go;that bring;i bring;friends bring;
"['bar', 'enjoy', 'tabl', 'dinner', 'realli', 'sit']",really enjoying;had dinner;,ourselves enjoying;we sat;dinner had;
"['fabul', 'servic', 'fantast', 'chill', 'environ', 'food', 'atmospher']",fabulous service;fantastic food;,fabulous service;fantastic food;chilled atmosphere;
"['hear', 'want']",,not wanted;what hear;i wanted;
"['lasagnett', 'tri', 'appet']",,appetizer try;
"['worth', 'tri', 'pricey', 'least']",,
"['usual', 'odd', 'next', 'pretti', 'peopl', 'sit', 'time', 'end']",few times;usually end;pretty odd;odd people;,i been;few times;i end;odd people;
"['like', 'select', 'beer']",,i liked;selection liked;
"['size', 'servic', 'great', 'unpretensi', 'food', 'set', 'menu', 'good']",great food;good size;great service;unpretensious setting;,great food;good size;great service;unpretensious setting;
"['wow', 'romant', 'go', 'dinner', 'experi', 'din']",romantic dinner;wow dining;dining experience;,romantic dinner;not for;out experience;
"['go', 'back', 'wait']",n't wait;,n't wait;
"['tast', 'bud', 'ny', 'satisfi', 'dosa', 'eat', 'yet', 'place', 'find', 'grow']",eating dosa;,i grew;dosa eating;place find;buds satisfy;
"['glass', 'gener', 'select', 'fill', 'top', 'wine', 'list', 'good']",wine list;generously filled;,selection is;
"['great', 'eat', 'never', 'varieti', 'get', 'menu', 'often', 'bore']",great variety;i eat;here often;never get;,great variety;i eat;never get;
"['limit', 'count', 'think', 'menu', 'entre']",very limited;,menu is;i think;we counted;entrees counted;
"['come', 'ever', 'satisfi', 'leav', 'hungri', 'carnivor']",more satisfied;ever been;,you are;you leave;you been;
"['excel', 'limit', 'almost', 'dish', 'menu']",,menu is;all are;
"['martini', 'sake', 'crazi']",not too;too crazy;,not crazy;
"['great', 'place', 'spread', 'hang', 'good', 'bagel']",great bagels;good place;,great bagels;good place;
"['servic', 'sometim', 'day', 'nice', 'vari']",very nice;sometimes not;,they 're;
"['whoever', 'jazz', 'point', 'duo']",,duo was;they were;
"['give', 'ot', 'rush', 'felt', 'incom', 'one', 'like', 'tabl', 'guest', 'place', 'thing', 'never', 'pressur']",never felt;table ot;ot incoming;,thing is;i liked;i felt;never felt;table give;incoming guests;guests give;
"['place', 'great', 'bargain']",great bargain;,place is;great bargain;
"['result', 'happen', 'upon', 'place', 'accid', 'pure', 'pleas']",,we happened;
"['everyth', 'outstand', 'restaur', 'food', 'pit', 'unfortun', 'els']",,food is;everything is;
"['ill', 'also', 'two', 'new', 'bukhara', 'deff', 'recimmend', 'open', 'tri', 'guess', 'locat']",deff recimmend;recimmend bukhara;also have;new locations;,deff recimmend;bukhara recimmend;they opened;new locations;locations guess;them try;
"['alway', 'satisfi', 'delici', 'leav', 'meal', 'feel']",always have;delicious meal;always leave;,we have;delicious meal;meal have;
"['ingredi', 'chopstick', 'dip', 'eat', 'swirl', 'around']",,ingredients dip;them swirl;
"['garden', 'enjoy', 'go', 'terrac', 'first']",first went;,terrace enjoy;
"['perfect', 'dri', 'well', 'husband', 'do']",well done;,husbands was;my done;
"['super', 'speak', 'everyon', 'custom', 'will', 'extra', 'friendli', 'help', 'mile']",super friendly;extra mile;,everyone is;i spoken;extra mile;
"['pizza', 'huge', 'pretti', 'good']",pretty good;,pizza was;
"['sapphir', 'go', 'restaur', 'indian', 'nyc']",only indian;indian restaurant;,sapphire is;only restaurant;indian restaurant;i go;i 'm;
"['cuisin', 'though', 'accustom', 'authent', 'differ', 'gather', 'taipei', 'taiwanes']",authentic taiwanese;very different;,cuisine is;what gathered;i gathered;authentic taiwanese;i accustomed;
"['heartili', 'recommend']",heartily recommend;,i recommend;
"['new', 'old', 'make', 'far', 'one', 'nyc', 'place', 'catch', 'heartland', 'best', 'breweri', 'friend']",best places;new friends;old ones;,brewery is;far one;best places;new friends;friends make;old ones;
"['almost', 'becom', 'review', 'great', 'crowd', 'hate', 'atmospher', 'write', 'hesitit', 'would']",so great;too become;,i hesititate;review write;atmosphere was;i hate;it become;
"['servic', 'effici', 'weekend', 'accur', 'crowd', 'often']",often crowded;,they crowded;they are;
"['co', 'worker', 'dish', 'small', 'amaz']",,workers were;dish was;
"['magnific', 'servic', 'food', 'impec', 'atmospher', 'unherald']",service impecible;,atmosphere unheralded;service impecible;
"['grill', 'special', 'difficult', 'order', 'eat', 'branzino', 'bone', 'infus']",grilled branzino;so infused;,we ordered;special branzino;grilled branzino;branzino ordered;that infused;it was;
"['staff', 'wait', 'food', 'better', 'friendli', 'get']",wait staff;,wait staff;staff is;food gotten;
"['biggest', 'queen', 'old', 'perhap', 'secret', 'place', 'month']",few months;months old;biggest secret;,place is;which is;biggest secret;
"['bite', 'area', 'pack', 'vibe', 'may', 'weekend', 'food', 'best', 'good', 'french', 'find']",best french;french food;,it be;vibe is;it is;best food;french food;you find;
"['place', 'much', 'fun']",so much;much fun;,place is;much fun;
['glad'],glad i;,i was;i did;
"['pizza', 'brooklyn', 'l', 'cozi', 'place', 'good', 'right', 'nice']",nice cozy;good pizza;,this is;nice place;cozy place;good pizza;
"['treat', 'rude', 'never']",never been;so rudely;,i treated;never treated;
"['soon', 'back']",back soon;,i be;
"['pinard', 'pre', 'outstand', 'le', 'menu', 'pere', 'theater']",pere pinard;pinard has;,pinard has;menu has;that is;
"['insid', 'go', 'excit', 'start', 'get']",,i started;
"['deliveri', 'half', 'forget', 'also', 'restaur', 'order']",also ordered;,i ordered;restaurant forgot;order forgot;
"['mayb', 'check', 'server', 'entir', 'us', 'twice', 'meal']",maybe twice;entire meal;,server checked;entire meal;
"['ju', 'prais', 'good', 'howev']",too good;not praise;,it is;not praise;it praise;
"['mani', 'return', 'reason', 'good', 'often', 'time', 'montparnass']",many times;good reason;,we been;many times;times montparnasse;good reason;
"['tast', 'bud', 'come', 'neg', 'leav', 'affect', 'right', 'scent', 'strong']",strong scents;negatively affected;,strong scents;scents affected;buds affected;
"['fantast', 'sandwich', 'lobster']",,we had;sandwich had;it was;
"['eat', 'happi', 'somewher']",,it 's;you eat;
"['rao', 'review', 'understand', 'write', 'bad']",bad review;n't understand;,you wrote;bad review;review wrote;it 's;you understand;n't understand;
"['bring', 'come', 'check', 'hour', 'even', 'less', 'stall', 'could', 'yet', 'us', 'understand']",stalling i;there less;n't even;even brought;,we been;i understand;they coming;we been;they brought;n't brought;check brought;
"['overal', 'give']",overall i;,i give;10 give;
"['worth', 'look', 'crab', 'roll', 'though', 'pay', 'may', 'spider', 'like', 'challeng', 'eat', 'hang', 'well', 'price', 'shell', 'soft']",soft shell;,roll look;soft shell;crab hanging;it is;you pay;
"['still', 'deep', 'skewer', 'rare', 'nyc', 'fri', 'find', 'good']",deep fried;fried skewers;still rare;,fried skewers;skewers are;
"['name', 'host', 'make', 'tri', 'time', 'reserv']",make reservations;n't have;,i tried;reservations make;hostess have;n't have;name have;
"['dish', 'also', 'rice', 'differ', 'varieti', 'porridg', 'conge', 'recommend']",also recommend;different varieties;,i recommend;dishes recommend;different varieties;
"['appet', 'tartar', 'die', 'tuna']",,appetizer is;
"['restaur', 'ever', 'best', 'one']",best restaurants;ever been;,this was;best restaurants;i been;
"['decent', 'use', 'pretti', 'restaur']",pretty decent;,restaurant used;
"['oasi', 'fish', 'food', 'uneven', 'pinnacl', 'american', 'though', 'precis', 'fine', 'execut', 'dish', 'reach', 'somewhat', 'refin', 'passion', 'evid', 'chef', 'cuisin', 'kitchen', 'new', 'soup', 'often']",somewhat uneven;often reaches;new american;american fine;precise execution;most evident;fish dishes;,oasis reaches;pinnacles reaches;new chef;american chef;fine chef;precise execution;
"['chees', 'delici', 'fare', 'wine', 'love', 'artisan', 'french']",delicious french;french fare;,you love;wine love;delicious fare;french fare;you love;
"['indian', 'food', 'expert', 'love', 'consid', 'quit']",indian food;,i love;indian food;food love;myself be;
"['pizza', 'wish', 'get', 'babi']",,pizzas get;wish get;
"['plenti', 'creation', 'make', 'choic']",own creation;,own creation;creation make;
"['someon', 'felt', 'tini', 'like', 'eat', 'room', 'live']",i felt;,it was;i felt;i eating;
['sit'],,i was;
"['worth', 'though', 'even', 'deff', 'wait', 'ya', 'oh', 'overal']",,ya is;it is;
"['lava', 'incred', 'dessert', 'cake', 'recommend']",lava cake;i recommend;,dessert was;i recommend;it recommend;
"['pizza', 'hope', 'babi', 'vt', 'grow']",pizzas hope;,vt is;what be;pizzas hope;they grow;
"['servic', 'mention', 'horribl', 'unaccommod', 'terribl', 'manag', 'bland', 'food', 'experi', 'overal']",terrible service;overall experience;,terrible service;not mention;unaccommodating managers;managers mention;overall experience;experience was;
"['need', 'amount', 'four', 'late', 'dollar', 'get', 'cheap', 'great', 'lahor', 'like', 'finish', 'food', 'place', 'tasti', 'night', 'duck', 'realli', 'troubl']",great place;really tasty;tasty food;likely have;have trouble;,lahore is;great place;late night;you need;tasty food;food need;you have;trouble have;amount finishing;you get;
"['seat', 'kitchen', 'last', 'go', 'next', 'tabl', 'corridor', 'time']",last time;time i;i went;,last time;i went;we seated;
"['rang', 'win', 'afford', 'select', 'high', 'good', 'end']",good selection;high end;,good selection;affordable from;high end;
"['restaur', 'upscal', 'decor', 'overal', 'classic', 'italian', 'nice']",nice restaurant;restaurant overall;classic upscale;upscale italian;italian decor;,nice restaurant;classic decor;upscale decor;italian decor;
"['impress', 'food']",not impressed;,not impressed;
"['experi', 'entir', 'wonder', 'din']",entire dining;,entire experience;experience was;
"['reserv', 'alway', 'friend', 'glass', 'go', 'town', 'wonder', 'make', 'select', 'wine', 'bottl', 'recommend']",always recommend;,selection is;i recommend;friends make;reservation make;they going;
"['maitr', 'regularli', 'seat', 'servic', 'progress', 'past', 'appris', 'delay', 'keep', 'refin', 'highli', 'us', 'minut', 'apolog', 'reserv']",highly refined;regularly kept;,service is;seating delayed;maitre apologized;us kept;
"['fantast', 'panang', 'duck', 'order']",,duck order;it 's;
"['usual', 'raw', 'though', 'ocasion', 'side', 'wonder', 'order', 'food', 'vegat', 'freshmess', 'good']",usually very;very good;ocasionally i;i wondered;raw vegatables;side orders;,food is;i wondered;raw vegatables;
"['servic', 'two', 'great', 'crappi', 'individu']",crappy service;,crappy service;it 's;
['ask'],,you ask;
"['notic', 'deal', 'line', 'wonder', 'wait', 'one', 'particular', 'form', 'best', 'establish']",best deals;particular establishment;,who had;best deals;deals had;we noticed;line noticed;particular establishment;
"['authent', 'price', 'amazin', 'indian']",authentic indian;amazin prices;,they have;authentic indian;indian have;
"['treat', 'like', 'royal']",,you treated;
"['quiet', 'small', 'nice', 'enough']",,
"['ambianc', 'stylish', 'relax']",ambiance- relaxed;,ambiance- relaxed;
"['last', 'felt', 'jimmi', 'never', 'bronx', 'cafe', 'month', 'unwelcom']",never felt;more unwelcome;last month;,i felt;never felt;last month;
"['luckili', 'salmon', 'duck', 'sea', 'crispi', 'save', 'room', 'bbq', 'bass']",saved room;crispy duck;,we saved;room saved;
"['ye', 'pizza', 'ingredi', 'fanci', 'someon', 'know', 'crust', 'unless', 'even', 'make', 'get', 'right', 'use', 'good']",fancy ingredients;even fancy;fancy ingredients;n't make;good pizza;,they use;fancy ingredients;ingredients use;fancy ingredients;ingredients make;n't make;good pizza;someone knows;crust right;
"['hole', 'enter', 'look', 'hesit', 'wall', 'one', 'realli', 'outsid', 'would']",,one hesitate;hole enter;that 's;it is;
"['ye', 'dal', 'kabab', 'bukhara', 'good', 'dam']",dal bukhara;so dam;dam good;so are;,bukhara is;dam good;
"['forward', 'eat', 'look']",i look;here again;,i look;
"['child', 'tast', 'come', 'alway', 'back']",always come;,i coming;
"['alway', 'comfort', 'joint', 'know', 'tuk', 'neighborhood', 'one', 'price', 'fair', 'meal', 'good']",comfortable neighborhood;always have;good meal;fair price;,tuk is;comfortable joints;you know;you have;good meal;meal have;fair price;
"['leap', 'everyth', 'happi', 'glass', 'prosecco', 'mussel', 'lizard']",leaping lizard;had everything;everything happy;,glass had;leaping lizard;everything had;happy everything;
"['averag', 'char', 'smell', 'creme', 'food', 'brule', 'caramel', 'sugar', 'kerosen', 'aw']",creme brulee;not caramelized;,food was;brulee was;sugar charred;not caramelized;
"['tast', 'alway', 'food', 'fresh', 'serv', 'promptli']",always tastes;,food tastes;
"['live', 'nearbi', 'know']",i live;,i know;i live;
"['pizza', 'delici']",here is;,pizza is;
"['entir', 'horrifi', 'famili']",entire family;,entire family;family was;
"['girl', 'monthli', 'togeth', 'get', 'night', 'basi', 'friend']",monthly basis;i get;,monthly basis;i get;girls have;
"['pizza', 'deliveri', 'garlic', 'alway', 'super', 'quick', 'great', 'order', 'knot', 'well', 'often', 'quit']",garlic knots;i order;quite often;always super;super quick;,knots are;i order;delivery is;
"['chines', 'ye', 'wu', 'great', 'liang', 'food', 'sichuan', 'nearbi', 'block', 'away', 'grand']",great chinese;chinese food;liang ye;grand sichuan;,great food;chinese food;you have;ye have;grand sichuan;
"['murray', 'anyth', 'say', 'servic']",says murray;is anything;,who says;murray is;
"['forget', 'restaur', 'food', 'import', 'place', 'realli', 'part', 'trendi']",really trendi;most important;important part;,place is;they forgotten;important part;
"['eye', 'disappoint', 'never', 'red']",never been;red eye;,i disappointed;never disappointed;red eye;
"['chef', 'hat']",,
"['custom', 'room', 'do', 'away', 'back']",back room;,this done;back room;
"['black', 'littl', 'servic', 'experi', 'seem', 'one', 'improv', 'could', 'antiqu', 'place', 'import', 'thing', 'teapot', 'heavi', 'restaur', 'understand', 'overal']",little things;antique-seeming teapot;,service improved;this is;that understands;importance understands;little things;heavy teapot;black teapot;seeming teapot;
"['luxuri', 'throw', 'pay', 'custom', 'glad']",paying customers;,you have;luxury have;customers paying;
"['pizza', 'freez', 'chees', 'common', 'cheap', 'delici', 'instead', 'fresh', 'mozzarella', 'pizzaria', 'shred', 'use']",fresh mozzarella;shredded cheese;cheese common;most pizzaria;,pizza is;they use;fresh mozzarella;mozzarella use;cheap cheese;frozen cheese;shredded cheese;common cheese;most pizzaria;
"['excel', 'new', 'citi', 'york', 'one', 'food', 'place', 'relax', 'best']",excellent place;new york;,excellent place;place is;food is;new york;
"['servic', 'problem', 'walk', 'tabl', 'never', 'friendli', 'get']",never had;,service is;never had;problem had;table getting;
"['vibe', 'type', 'great', 'crowd', 'atmospher', 'bistro']",great bistro-type;bistro-type vibe;,atmosphere was;it was;great vibe;bistro type;
['check'],,it check;
"['odd', 'waitress', 'get', 'restaur', 'tabl', 'order', 'first', 'complet', 'saw', 'wrong', 'unattent', 'time']",first off;completely unattentive;,waitress was;we saw;her(odd saw;order wrong;
['go'],n't go;,n't go;
"['food', 'bland', 'oili']",,food was;
[],,they do;
"['even', 'afford', 'price', 'well', 'better', 'food', 'realli', 'good']",even better;very affordable;really good;,what is;prices are;food is;
"['fish', 'noth', 'fresh', 'varieti', 'ordinari']",is nothing;,fish is;variety is;
"['ever', 'look', 'know', 'decent', 'review', 'someoth', 'pleas', 'place', 'tri', 'peopl', 'write', 'dont']",look i;i dont;ever been;decent place;please try;someother places;,i know;people been;who wrote;reviews wrote;decent place;places try;
"['challeng', 'suan', 'loyalti']",,suan challenged;loyalty challenged;
"['pizza', 'favorit', 'salad', 'hous', 'pesto', 'wine', 'meal', 'good', 'bottl']",favorite meal;pesto pizza;good bottle;,favorite meal;meal is;pesto pizza;good bottle;
"['across', 'come', 'bartend', 'beverag', 'manag', 'yet', 'kruno', 'best']",best bartender;,manager is;best bartender;i have;
"['music', 'ambianc', 'funki', 'enjoy']",,ambiance funky;which enjoy;i enjoy;
"['clearli', 'servic', 'among', 'citi', 'food', 'drink', 'best']",,food are;
"['bite', 'size', 'late', 'go', 'reflesh', 'date', 'afternoon', 'food']",i went;late afternoon;bite size;,i went;late afternoon;
"['deal', 'four', 'dollar', 'great', 'realli', 'get', 'consid', 'full']",really great;great deal;,it 's;great deal;we got;
"['tast', 'area', 'featur', 'allur', 'authent', 'food', 'back', 'need', 'complic', 'captain', 'star', 'ambianc', 'sommlier', 'five', 'come', 'servic', 'folk', 'understand', 'experi', 'maze', 'romant', 'waiter']",not come;alluring ambiance;complicated maze;authentic foods;,i understand;area understand;you come;not come;romantic ambiance;alluring ambiance;sommlier featuring;complicated maze;back waiters;you come;authentic foods;
"['take', 'person', 'go', 'afford', 'could', 'mommi']",,only person;who afford;me taking;
"['ny', 'vacat', 'refer', 'chanc', 'friend']",,friends were;
"['take', 'come', 'last', 'waitress', 'go', 'order', 'time', 'back']",last time;time i;i went;n't come;,last time;i went;waitress come;n't come;order taking;
"['salmon', 'tri', 'tandoori']",tandoori salmon;,tandoori salmon;salmon try;
"['hook', 'place', 'ridicul', 'complet']",completely hooked;,i hooked;it is;
"['disappoint', 'eat', 'save', 'atmospher', 'experi', 'desk']",very disappointing;disappointing experience;,atmosphere saves;it saves;it 's;disappointing experience;
"['servic', 'grant', 'largest', 'even', 'restaur', 'space', 'best', 'smaller', 'find']",best service;,space granted;it is;best service;you find;
"['alway', 'place', 'get', 'respons', 'recommend', 'good', 'friend']",always gets;good response;,place recommended;good response;response gets;
"['mid', 'return', 'town', 'oasi', 'time', 'mani']",many times;,we return;many times;mid -;
"['atmorpher', 'love', 'peep']",atmorphere @;@ peep;,i love;atmorphere love;
['enjoy'],,
[],,we were;n't were;
"['restaur', 'miss', 'favorit', 'one']",favorite restaurants;,this is;favorite restaurants;it is;not is;
"['la', 'swing', 'mexican', 'pacifico', 'restaur', 'rosa', 'connect', 'door']",swinging door;mexican restaurant;,la rosa;rosa connected;swinging door;mexican pacifico;
"['could', 'better', 'handl']",,it handled;
"['servic', 'item', 'mark', 'menu', 'right', 'suggest', 'attent']",,service was;suggestions was;
"['three', 'lick', 'everyth', 'plate', 'cours', 'delici', 'could', 'clean', 'night', 'meal', 'would']",other night;,other night;we had;meal had;everything was;i licked;plate licked;i of;
"['cash', 'amex', 'pleas', 'awar']",'s cash;,it 's;
"['famou', 'legaci', 'sal', 'pizza', 'uncl', 'forget', 'smile', 'outstand', 'even', 'commun', 'ray', 'push', 'rise', 'true', 'father', 'get', 'let', 'class', 'love', 'carri']",no-class famous;famous ray;true love;not forget;outstanding pizza;,famous ray;sal risen;legacies carry;true love;'s forget;not forget;outstanding pizza;pizza forget;
"['earli', 'rather', 'close', 'cramp', 'restaur', 'busi']",rather cramped;busy restaurant;,it 's;cramped restaurant;it closes;
"['pathet', 'servic', 'romant', 'horribl', 'everyth', 'gabriella', 'environ', 'could', 'food', 'lie']",,environment is;food is;service is;gabriella lies;she could;
"['despit', 'boil', 'mess', 'ton', 'crawfish', 'make', 'well', 'tasti', 'fun', 'quit']",quite tasty;as well;,we had;boiled had;mess making;it was;
"['occas', 'coupl', 'special', 'make', 'high', 'place', 'month', 'advanc', 'expect', 'reserv']",very high;high expectations;special occasion;,i had;high expectations;expectations had;reservation made;special occasion;
"['warm', 'interior', 'serv', 'fluffi', 'soft']",soft fluffy;,they served;soft interior;fluffy interior;interior had;
"['come', 'beyond', 'burn', 'tabl', 'recognit', 'stringi']",,what came;
"['noodl', 'pad', 'thai', 'sticki']",,i had;thai had;noodles were;
"['actual', 'never', 'proper', 'deliv', 'time']",so i;i 've;never actually;actually been;i 've;few times;,i been;never been;proper m;i had;it delivered;few times;times delivered;
"['among', 'new', 'offer', 'th', 'valu', 'money', 'restaur', 'far', 'avenu', 'one', 'best']",new 5th;5th avenue;best values;,new restaurants;5th restaurants;this offers;far one;best values;
"['comparison', 'citi', 'compar', 'sandwich', 'shop', 'lunch', 'versu', 'frankli', 'mcd', 'mani']",so many;many other;other sandwich;sandwich shops;,you compare;what have;you have;many shops;other shops;
"['offens', 'rude', 'point', 'host']",,hostess is;
"['especi', 'build', 'across', 'bar', 'roll', 'stand', 'head', 'sake', 'great', 'haru', 'hous', 'wait', 'food', 'outisd', 'street', 'crave']",great food;n't stand;sake bar;,you craving;great food;n't stand;wait outisde;outisde stand;
