reviews,lemmas,lemmas,aspectCategory
We usually go to the Chart House to celebrate a birthday or anniversary.,"['usual', 'celebr', 'hous', 'anniversari', 'chart', 'birthday', 'go']",usually go;,anecdotes/miscellaneous
this little place has a cute interior decor and affordable city prices.,"['interior', 'decor', 'cute', 'afford', 'littl', 'citi', 'place', 'price']",little place;cute interior;interior decor;affordable city;,ambience
You'll adore it.,['ador'],,anecdotes/miscellaneous
Two words: Free wine.,"['wine', 'two', 'word', 'free']",free wine;,price
The price is reasonable although the service is poor.,"['although', 'reason', 'poor', 'servic', 'price']",,service
"The quantity is also very good, you will come out satisfied.","['come', 'quantiti', 'also', 'good', 'satisfi']",also very;very good;,food
I have been to Roth's twice and both times were very disappointing.,"['time', 'roth', 'twice', 'disappoint']",very disappointing;,anecdotes/miscellaneous
Worth visiting the 1st Ave spot because it is the original store.,"['ave', 'visit', 'st', 'store', 'worth', 'origin', 'spot']",worth visiting;ave spot;original store;,anecdotes/miscellaneous
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","['friday', 'lover', 'action', 'closer', 'sushi', 'town', 'two', 'stumbl', 'floor', 'friend', 'l', 'bar', 'seriou', 'upon', 'second', 'sit', 'ago', 'walk']",second floor;floor walk-up;serious sushi;,anecdotes/miscellaneous
"Raga's is a romantic, cozy restaurant.","['romant', 'cozi', 'restaur', 'raga']",cozy restaurant;,ambience
The fried rice is amazing here.,"['fri', 'rice', 'amaz']",fried rice;,food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","['mussel', 'world', 'includ', 'puff', 'delici', 'au', 'hanger', 'excel', 'choic', 'three', 'pastri', 'chees', 'salad', 'dress', 'cours', 'poivr', 'steak', 'goat']",excellent mussels;puff pastry;delicious dressing;,food
it's a perfect place to have a amanzing indian food.,"['place', 'perfect', 'indian', 'amanz', 'food']",perfect place;indian food;,food
The place is so cool and the service is prompt and curtious.,"['prompt', 'curtiou', 'servic', 'cool', 'place']",so cool;,service
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"['leav', 'broth', 'slurp', 'mild', 'cup', 'end', 'noodl']",mild broth;,food
I just wonder how you can have such a delicious meal for such little money.,"['wonder', 'money', 'meal', 'littl', 'delici']",just wonder;delicious meal;such little;little money;,price
The food was delicious but do not come here on a empty stomach.,"['come', 'stomach', 'delici', 'empti', 'food']",not come;empty stomach;,food
The wine list is excellent.,"['excel', 'list', 'wine']",wine list;,food
so garantuan that you can't fit them in a toaster.,"['garantuan', 'toaster', 'fit']",so garantuan;n't fit;,food
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","['far', 'manhattan', 'restaur', 'best', 'ive', 'mom', 'except', 'mani', 'cours', 'thai', 'food', 'toon']",ive been;many thai;thai restaurants;best thai;,food
They wouldnt even let me finish my glass of wine before offering another.,"['finish', 'wouldnt', 'anoth', 'even', 'offer', 'glass', 'let', 'wine']",even let;,service
I highly recommend the Sophia pizza.,"['sophia', 'pizza', 'highli', 'recommend']",highly recommend;,anecdotes/miscellaneous
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","['know', 'question', 'detail', 'special', 'whem', 'ask']",more detailed;detailed questions;,service
This is a consistently great place to dine for lunch or dinner.,"['dine', 'place', 'consist', 'dinner', 'lunch', 'great']",consistently great;great place;,anecdotes/miscellaneous
"Nice atmosphere, the service was very pleasant and the desert was good.","['pleasant', 'atmospher', 'nice', 'desert', 'servic', 'good']",nice atmosphere;very pleasant;,food
All the people that I bring there go back on their own and bring THEIR friends!,"['back', 'peopl', 'bring', 'friend', 'go']",i bring;there go;,anecdotes/miscellaneous
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"['tabl', 'enjoy', 'dinner', 'sit', 'realli', 'bar']",really enjoying;had dinner;,anecdotes/miscellaneous
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","['atmospher', 'chill', 'environ', 'fabul', 'servic', 'food', 'fantast']",fabulous service;fantastic food;,food
Not what I wanted to hear.,"['hear', 'want']",,anecdotes/miscellaneous
Try the lasagnette appetizer.,"['tri', 'appet', 'lasagnett']",,food
"Pricey, but worth a try, at least once.","['worth', 'tri', 'pricey', 'least']",,price
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","['time', 'usual', 'odd', 'peopl', 'pretti', 'next', 'sit', 'end']",few times;usually end;pretty odd;odd people;,anecdotes/miscellaneous
I liked the beer selection!,"['beer', 'like', 'select']",,food
"Great food, good size menu, great service and an unpretensious setting.","['size', 'menu', 'servic', 'set', 'good', 'unpretensi', 'food', 'great']",great food;good size;great service;unpretensious setting;,food
Go here for a romantic dinner but not for an all out wow dining experience.,"['wow', 'dinner', 'din', 'romant', 'go', 'experi']",romantic dinner;wow dining;dining experience;,anecdotes/miscellaneous
Can't wait to go back.,"['go', 'back', 'wait']",n't wait;,anecdotes/miscellaneous
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"['find', 'yet', 'bud', 'place', 'ny', 'dosa', 'eat', 'grow', 'satisfi', 'tast']",eating dosa;,anecdotes/miscellaneous
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"['list', 'top', 'fill', 'good', 'select', 'gener', 'glass', 'wine']",wine list;generously filled;,food
"With the great variety on the menu , I eat here often and never get bored .","['get', 'bore', 'menu', 'varieti', 'never', 'eat', 'often', 'great']",great variety;i eat;here often;never get;,food
The menu is very limited - i think we counted 4 or 5 entrees.,"['think', 'count', 'menu', 'entre', 'limit']",very limited;,food
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","['come', 'leav', 'ever', 'carnivor', 'hungri', 'satisfi']",more satisfied;ever been;,anecdotes/miscellaneous
The menu is limited but almost all of the dishes are excellent.,"['excel', 'menu', 'almost', 'dish', 'limit']",,food
Not too crazy about their sake martini.,"['sake', 'crazi', 'martini']",not too;too crazy;,food
"Great bagels, spreads and a good place to hang out in.","['hang', 'good', 'bagel', 'place', 'spread', 'great']",great bagels;good place;,food
"The service varys from day to day- sometimes they're very nice, and sometimes not.","['vari', 'nice', 'servic', 'sometim', 'day']",very nice;sometimes not;,service
"whoever the jazz duo was, they were on POINT.","['point', 'jazz', 'duo', 'whoever']",,ambience
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"['tabl', 'like', 'pressur', 'ot', 'guest', 'one', 'give', 'incom', 'rush', 'never', 'place', 'thing', 'felt']",never felt;table ot;ot incoming;,service
This place is a great bargain.,"['place', 'bargain', 'great']",great bargain;,price
We happened upon this place purely by accident and were pleased with the results.,"['accid', 'pleas', 'result', 'happen', 'upon', 'place', 'pure']",,anecdotes/miscellaneous
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","['els', 'restaur', 'outstand', 'everyth', 'food', 'pit', 'unfortun']",,food
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"['ill', 'new', 'also', 'bukhara', 'two', 'locat', 'deff', 'recimmend', 'tri', 'open', 'guess']",deff recimmend;recimmend bukhara;also have;new locations;,anecdotes/miscellaneous
We always have a delicious meal and always leave feeling satisfied.,"['leav', 'feel', 'meal', 'alway', 'delici', 'satisfi']",always have;delicious meal;always leave;,food
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","['swirl', 'dip', 'ingredi', 'chopstick', 'around', 'eat']",,food
First went here to enjoy their garden terrace.,"['terrac', 'first', 'enjoy', 'garden', 'go']",first went;,ambience
"My husbands was perfect, my was well done and dry.","['dri', 'husband', 'perfect', 'well', 'do']",well done;,food
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","['will', 'extra', 'mile', 'custom', 'speak', 'super', 'help', 'friendli', 'everyon']",super friendly;extra mile;,service
The pizza was pretty good and huge.,"['pretti', 'pizza', 'good', 'huge']",pretty good;,food
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"['restaur', 'sapphir', 'indian', 'nyc', 'go']",only indian;indian restaurant;,anecdotes/miscellaneous
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","['taipei', 'gather', 'taiwanes', 'cuisin', 'accustom', 'though', 'differ', 'authent']",authentic taiwanese;very different;,food
I heartily recommend.,"['heartili', 'recommend']",heartily recommend;,anecdotes/miscellaneous
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"['far', 'best', 'breweri', 'new', 'one', 'old', 'make', 'friend', 'heartland', 'nyc', 'place', 'catch']",best places;new friends;old ones;,anecdotes/miscellaneous
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"['hesitit', 'write', 'atmospher', 'crowd', 'becom', 'almost', 'would', 'hate', 'review', 'great']",so great;too become;,ambience
They are often crowded on the weekends but they are efficient and accurate with their service.,"['effici', 'crowd', 'accur', 'servic', 'weekend', 'often']",often crowded;,service
All my co-workers were amazed at how small the dish was.,"['co', 'small', 'amaz', 'dish', 'worker']",,food
"The atmosphere is unheralded, the service impecible, and the food magnificant.","['magnific', 'unherald', 'atmospher', 'servic', 'impec', 'food']",service impecible;,food
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","['bone', 'order', 'grill', 'special', 'eat', 'branzino', 'infus', 'difficult']",grilled branzino;so infused;,food
"The wait staff is friendly, and the food has gotten better and better!","['get', 'staff', 'wait', 'better', 'friendli', 'food']",wait staff;,food
"This place, which is only a few months old, is perhaps Queens' biggest secret!","['perhap', 'month', 'biggest', 'old', 'place', 'queen', 'secret']",few months;months old;biggest secret;,anecdotes/miscellaneous
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","['may', 'find', 'food', 'best', 'area', 'weekend', 'vibe', 'good', 'bite', 'french', 'pack']",best french;french food;,food
This place is so much fun.,"['much', 'place', 'fun']",so much;much fun;,anecdotes/miscellaneous
I was glad I did.,['glad'],glad i;,anecdotes/miscellaneous
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"['pizza', 'nice', 'cozi', 'brooklyn', 'l', 'good', 'place', 'right']",nice cozy;good pizza;,food
I've never been treated so rudely.,"['treat', 'rude', 'never']",never been;so rudely;,service
I'll be back soon.,"['back', 'soon']",back soon;,anecdotes/miscellaneous
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"['pinard', 'pre', 'le', 'theater', 'menu', 'outstand', 'pere']",pere pinard;pinard has;,food
Went inside and I started to get excited.,"['excit', 'get', 'insid', 'start', 'go']",,anecdotes/miscellaneous
I also ordered for delivery and the restaurant forgot half the order.,"['half', 'restaur', 'order', 'also', 'forget', 'deliveri']",also ordered;,service
Our server checked on us maybe twice during the entire meal.,"['check', 'mayb', 'meal', 'server', 'us', 'twice', 'entir']",maybe twice;entire meal;,service
"However, it is jus too good to not praise it.","['howev', 'prais', 'good', 'ju']",too good;not praise;,anecdotes/miscellaneous
We have been to Montparnasse many times and return often for good reason.,"['montparnass', 'time', 'reason', 'mani', 'good', 'return', 'often']",many times;good reason;,anecdotes/miscellaneous
The strong scents coming from the left and right of me negatively affected my taste buds.,"['come', 'affect', 'scent', 'leav', 'neg', 'bud', 'strong', 'right', 'tast']",strong scents;negatively affected;,anecdotes/miscellaneous
We had the lobster sandwich and it was FANTASTIC.,"['sandwich', 'fantast', 'lobster']",,food
It's somewhere you can eat and be happy.,"['somewher', 'happi', 'eat']",,anecdotes/miscellaneous
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","['write', 'bad', 'review', 'rao', 'understand']",bad review;n't understand;,anecdotes/miscellaneous
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","['come', 'could', 'yet', 'less', 'check', 'bring', 'hour', 'even', 'us', 'stall', 'understand']",stalling i;there less;n't even;even brought;,service
but overall i give it a 10,"['overal', 'give']",overall i;,anecdotes/miscellaneous
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","['may', 'worth', 'like', 'hang', 'pay', 'challeng', 'though', 'shell', 'crab', 'soft', 'well', 'look', 'roll', 'eat', 'price', 'spider']",soft shell;,food
Deep Fried Skewers are good and still rare to find in NYC.,"['find', 'skewer', 'fri', 'good', 'nyc', 'still', 'deep', 'rare']",deep fried;fried skewers;still rare;,food
"I have tried to make reservations, but both times, the hostess didn't have my name.","['time', 'reserv', 'name', 'host', 'make', 'tri']",make reservations;n't have;,service
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"['also', 'conge', 'recommend', 'dish', 'varieti', 'differ', 'rice', 'porridg']",also recommend;different varieties;,food
Their tuna tartar appetizer is to die for.,"['appet', 'tuna', 'tartar', 'die']",,food
This was one of the BEST restaurants I've ever been to.,"['ever', 'best', 'one', 'restaur']",best restaurants;ever been;,anecdotes/miscellaneous
This restaurant used to be pretty decent.,"['decent', 'pretti', 'restaur', 'use']",pretty decent;,anecdotes/miscellaneous
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","['chef', 'reach', 'fine', 'soup', 'dish', 'pinnacl', 'precis', 'food', 'though', 'execut', 'kitchen', 'often', 'new', 'fish', 'evid', 'american', 'somewhat', 'passion', 'cuisin', 'uneven', 'oasi', 'refin']",somewhat uneven;often reaches;new american;american fine;precise execution;most evident;fish dishes;,food
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","['artisan', 'love', 'chees', 'wine', 'fare', 'delici', 'french']",delicious french;french fare;,food
I love Indian food and consider myself to be quite an expert on it.,"['quit', 'consid', 'indian', 'expert', 'food', 'love']",indian food;,food
Some baby pizzas get their wish.,"['get', 'babi', 'wish', 'pizza']",,food
Plenty of choices to make your own creation.,"['make', 'choic', 'plenti', 'creation']",own creation;,food
It was tiny and I felt like I was eating in someone's living room.,"['like', 'live', 'eat', 'someon', 'room', 'tini', 'felt']",i felt;,ambience
I was there on sat.,['sit'],,anecdotes/miscellaneous
Overall A oh ya even though there is waiting it is deff worth it,"['though', 'even', 'deff', 'wait', 'oh', 'overal', 'worth', 'ya']",,anecdotes/miscellaneous
The lava cake dessert was incredible and I recommend it.,"['dessert', 'cake', 'recommend', 'incred', 'lava']",lava cake;i recommend;,food
VT is what baby pizzas hope to be when they grow up.,"['pizza', 'babi', 'hope', 'vt', 'grow']",pizzas hope;,anecdotes/miscellaneous
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","['horribl', 'terribl', 'manag', 'unaccommod', 'servic', 'experi', 'overal', 'food', 'bland', 'mention']",terrible service;overall experience;,food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"['tasti', 'food', 'duck', 'like', 'lahor', 'late', 'finish', 'get', 'need', 'four', 'dollar', 'troubl', 'night', 'realli', 'cheap', 'amount', 'place', 'great']",great place;really tasty;tasty food;likely have;have trouble;,food
The last time I went we were seated at a table in a corridor next to the kitchen.,"['tabl', 'time', 'corridor', 'seat', 'next', 'last', 'kitchen', 'go']",last time;time i;i went;,anecdotes/miscellaneous
good selection of wines ranging from affordable to high end.,"['afford', 'high', 'rang', 'win', 'good', 'select', 'end']",good selection;high end;,food
"Nice restaurant overall, with classic upscale Italian decor.","['decor', 'restaur', 'upscal', 'nice', 'classic', 'overal', 'italian']",nice restaurant;restaurant overall;classic upscale;upscale italian;italian decor;,ambience
Not impressed with the food.,"['food', 'impress']",not impressed;,food
The entire dining experience was wonderful!,"['wonder', 'experi', 'entir', 'din']",entire dining;,anecdotes/miscellaneous
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['wonder', 'reserv', 'town', 'recommend', 'make', 'friend', 'alway', 'select', 'glass', 'go', 'wine', 'bottl']",always recommend;,food
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"['delay', 'apolog', 'reserv', 'keep', 'seat', 'past', 'progress', 'us', 'servic', 'maitr', 'regularli', 'refin', 'minut', 'highli', 'appris']",highly refined;regularly kept;,service
"Order the panang duck, it's fantastic.","['fantast', 'panang', 'duck', 'order']",,food
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","['usual', 'raw', 'wonder', 'order', 'ocasion', 'though', 'vegat', 'good', 'freshmess', 'food', 'side']",usually very;very good;ocasionally i;i wondered;raw vegatables;side orders;,food
"Other than the crappy service from two individuals, it's great.","['two', 'individu', 'servic', 'crappi', 'great']",crappy service;,service
What more can you ask for?,['ask'],,anecdotes/miscellaneous
Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,"['wonder', 'best', 'particular', 'one', 'establish', 'wait', 'line', 'form', 'deal', 'notic']",best deals;particular establishment;,anecdotes/miscellaneous
They have authentic Indian at amazin prices.,"['price', 'indian', 'authent', 'amazin']",authentic indian;amazin prices;,food
You are treated just like royality.,"['treat', 'royal', 'like']",,service
"There's nice and quiet, small but enough for 6 (or more).","['small', 'nice', 'quiet', 'enough']",,ambience
Ambiance- relaxed and stylish.,"['relax', 'ambianc', 'stylish']",ambiance- relaxed;,ambience
I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,"['month', 'jimmi', 'bronx', 'last', 'cafe', 'never', 'unwelcom', 'felt']",never felt;more unwelcome;last month;,anecdotes/miscellaneous
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","['duck', 'sea', 'salmon', 'bbq', 'room', 'crispi', 'luckili', 'save', 'bass']",saved room;crispy duck;,food
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","['unless', 'get', 'right', 'fanci', 'know', 'crust', 'make', 'ingredi', 'ye', 'even', 'someon', 'good', 'use', 'pizza']",fancy ingredients;even fancy;fancy ingredients;n't make;good pizza;,food
"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","['outsid', 'wall', 'enter', 'one', 'would', 'realli', 'look', 'hesit', 'hole']",,ambience
and yes Dal Bukhara is so dam good and so are all the kababs.,"['dam', 'dal', 'bukhara', 'kabab', 'ye', 'good']",dal bukhara;so dam;dam good;so are;,food
I look forward to eating here again,"['look', 'eat', 'forward']",i look;here again;,anecdotes/miscellaneous
I've been coming here as a child and always come back for the taste.,"['come', 'back', 'child', 'alway', 'tast']",always come;,food
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"['neighborhood', 'know', 'one', 'meal', 'fair', 'comfort', 'alway', 'price', 'tuk', 'good', 'joint']",comfortable neighborhood;always have;good meal;fair price;,food
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","['mussel', 'happi', 'leap', 'lizard', 'prosecco', 'everyth', 'glass']",leaping lizard;had everything;everything happy;,food
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","['aw', 'creme', 'brule', 'char', 'averag', 'kerosen', 'smell', 'sugar', 'caramel', 'food']",creme brulee;not caramelized;,food
The food always tastes fresh and served promptly.,"['fresh', 'serv', 'alway', 'food', 'promptli', 'tast']",always tastes;,food
I know because I live nearby.,"['know', 'nearbi', 'live']",i live;,anecdotes/miscellaneous
The pizza here is delicious.,"['delici', 'pizza']",here is;,food
My entire family was horrified.,"['horrifi', 'famili', 'entir']",entire family;,anecdotes/miscellaneous
On a monthly basis my friends and I get together and have a girls night out.,"['basi', 'get', 'togeth', 'night', 'friend', 'monthli', 'girl']",monthly basis;i get;,anecdotes/miscellaneous
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","['quit', 'knot', 'garlic', 'order', 'quick', 'well', 'alway', 'super', 'deliveri', 'pizza', 'often', 'great']",garlic knots;i order;quite often;always super;super quick;,food
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","['chines', 'sichuan', 'liang', 'away', 'wu', 'grand', 'block', 'ye', 'nearbi', 'food', 'great']",great chinese;chinese food;liang ye;grand sichuan;,food
But who says Murray's is anything about service.,"['servic', 'anyth', 'say', 'murray']",says murray;is anything;,service
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","['food', 'part', 'restaur', 'forget', 'import', 'realli', 'trendi', 'place']",really trendi;most important;important part;,food
I have NEVER been disappointed in the Red Eye.,"['disappoint', 'red', 'eye', 'never']",never been;red eye;,anecdotes/miscellaneous
Hats off to the chef.,"['chef', 'hat']",,food
This should have been done in a back room - away from customers.,"['back', 'custom', 'away', 'room', 'do']",back room;,anecdotes/miscellaneous
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","['could', 'thing', 'restaur', 'heavi', 'one', 'import', 'littl', 'servic', 'seem', 'improv', 'overal', 'experi', 'black', 'place', 'teapot', 'antiqu', 'understand']",little things;antique-seeming teapot;,anecdotes/miscellaneous
Glad you have the luxury to throw out paying customers.,"['glad', 'luxuri', 'pay', 'custom', 'throw']",paying customers;,anecdotes/miscellaneous
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","['fresh', 'mozzarella', 'pizzaria', 'freez', 'chees', 'common', 'use', 'instead', 'cheap', 'delici', 'pizza', 'shred']",fresh mozzarella;shredded cheese;cheese common;most pizzaria;,food
Its an excellent place to relax and the food is one of the best in the city of New York.,"['best', 'new', 'excel', 'place', 'one', 'york', 'relax', 'citi', 'food']",excellent place;new york;,food
"service is friendly, and never had a problem walking in and getting a table.","['tabl', 'get', 'servic', 'problem', 'never', 'friendli', 'walk']",never had;,service
The atmosphere was crowded but it was a great bistro-type vibe.,"['bistro', 'atmospher', 'crowd', 'type', 'vibe', 'great']",great bistro-type;bistro-type vibe;,ambience
Check it out,['check'],,anecdotes/miscellaneous
